Acronym,Level of User,Measure of:,Name,Item,Item Name,Edition Number,Ages,Number of Items,Location,Ordering Company,IsArchived
BAI,B,Mood/Anxiety,Beck Anxiety Inventory,Manual,,,,1,Second Floor,Pearson,0
BAI,B,Mood/Anxiety,Beck Anxiety Inventory,Form,Record Form,,,Around 25,Second Floor,Pearson,0
BAI,B,Mood/Anxiety,Beck Anxiety Inventory,Form,"For remote, on-screen administration",,,,Online Platform,Pearson Login,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Manual,,3,,1,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Self-Report Interview
(SRP)",3,6 to 7,Around 20,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Self-Report Child
(SRP)",3,8 to 11,Around 15,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Self-Report Adolescent
(SRP)",3,12 to 21,25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Self-Report College
(SRP)",3,18 to 25,Over 25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Parent Rating Scales (PRS)
Preschool",3,2 to 5,Around 25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Teacher Rating Scales (TRS)
Preschool",3,2 to 5,Around 25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Parent Rating Scales (PRS)
Child",3,6 to 11,Around 50,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Teacher Rating Scales (TRS)
Child",3,6 to 11,Around 25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Parent Rating Scales (PRS)
Adolescent",3,12 to 21,Around 25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Teacher Rating Scales (TRS)
Adolescent",3,12 to 21,Around 25,Second Floor,Pearson,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Manual,,3,,,Online Platform,Pearson Login,0
BASC-3,B,General Behaviour and Emotion,Behavior Assessment System for Children,Form,"Administration, scoring and reporting for the TRS, PRS, SRP, SDH, PRQ or SOS",3,,,Online Platform,Pearson Login,0
Bayley-III,B,,Bayley Scales of Infant and Toddler Development,Form,Cognitive Language Motor Record Forms,3,,18,Second Floor,Pearson - 4th ed available,0
Bayley-III,B,,Bayley Scales of Infant and Toddler Development,Form,Caregiver Report Forms,3,,19,Second Floor,Pearson - 4th ed available,0
Bayley-III,B,,Bayley Scales of Infant and Toddler Development,Form,Social-Emotional and Adaptive Behavior Questionnaire,3,,17,Second Floor,Pearson - 4th ed available,0
BDI-2,B,Mood/Anxiety,Beck Depression Inventory,Manual,,2,,1,Second Floor,Pearson,0
BDI-2,B,Mood/Anxiety,Beck Depression Inventory,Form,Record Form,2,,Over 25,Second Floor,Pearson,0
Beery PVT and Beery PVS,,Language,Beery Picture Vocabulary Test and Beery Picture Vocabulary Screening Series,Manual,Professional Manual,,,2,Second Floor,"Publisher - Psychological Assessment Resources
As of January 2002, publisher advises test is now out of print",0
Beery PVS,,Language, Beery Picture Vocabulary Screening Series,Form,Record Form 2 - 12,,,1 of each,Second Floor,"Publisher - Psychological Assessment Resources
As of January 2002, publisher advises test is now out of print",0
Beery PVT,,Language,Beery Picture Vocabulary Test,Book,Stimulus Card Set,,,2,Second Floor,"Publisher - Psychological Assessment Resources
As of January 2002, publisher advises test is now out of print",0
Beery PVT,,Language,Beery Picture Vocabulary Test,Form,Record Form,,,Around 30,Second Floor,"Publisher - Psychological Assessment Resources
As of January 2002, publisher advises test is now out of print",0
Beery VMI ,C,Visual-Motor,Beery-Buktenica Developmental Test of Visual-Motor Integration,Manual,,6,,2,Second Floor,WPS,0
Beery VMI ,C,Visual-Motor,The Beery-Buktenica Developmental Test of Visual-Motor Integration,Form,Testing Booklet (green) (FULL FORM),6,2 through 100,Around 30,Second Floor,WPS,0
Beery VMI ,C,Visual-Motor,The Beery-Buktenica Developmental Test of Visual-Motor Integration,Form,Testing Booklet (green) (SHORT FORM),6,2 through 7,17,Second Floor,WPS,0
Beery VMI ,C,Visual-Motor,The Beery VMI Developmental Test of Motor Coordination,Form,Testing Booklet (beige),6,2 to 100,Less than 50,Second Floor,WPS,0
Beery VMI ,C,Visual-Motor,The Beery VMI Developmental Test of Visual Perception,Form,Testing Booklet (blue),6,2 to 100,Over 50,Second Floor,WPS,0
BHS,B,Mood/Anxiety,Beck Hopelessness Scale,Manual,,,,1,Second Floor,Pearson,0
BHS,B,Mood/Anxiety,Beck Hopelessness Scale,Form,Record Form,,,Around 20,Second Floor,Pearson,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Manual,Professional Manual,2,,1,Second Floor,PAR,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Book,Fast Guide,2,,1,Second Floor,PAR,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Teacher Form,2,,Around 50,Second Floor,PAR,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Teacher Form Scoring Summary,2,,Around 50,Second Floor,PAR,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Parent Form,2,,Around 30,Second Floor,PAR ,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Parent Form Scoring Summary,2,,Around 50,Second Floor,PAR ,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Self-Report Form,2,,18,Second Floor,PAR ,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Self-Report Form Scoring Summary,2,,Around 30,Second Floor,PAR ,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Self + score reports,2,,,Online Platform,PAR Login,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Parent Form + score reports,2,,,Online Platform,PAR Login,0
BRIEF2,B,,Behavior Rating Inventory of Executive Function,Form,Teacher Form + score reports,2,,,Online Platform,PAR Login,0
BRIEF-A,B,,Behavior Rating Inventory of Executive Function-Adult Version,Manual,Professional Manual,,,1,Second Floor,PAR,0
BRIEF-A,B,,Behavior Rating Inventory of Executive Function-Adult Version,Form,Informant Report Form,,,Around 25,Second Floor,PAR,0
BRIEF-A,B,,Behavior Rating Inventory of Executive Function-Adult Version,Form,Informant Report Scoring Summary,,,Around 30,Second Floor,PAR,0
BRIEF-A,B,,Behavior Rating Inventory of Executive Function-Adult Version,Form,Self-Report Form,,,15,Second Floor,PAR,0
BRIEF-A,B,,Behavior Rating Inventory of Executive Function-Adult Version,Form,Self-Report Scoring Summary,,,Around 25,Second Floor,PAR,0
BRIEF-A,B,,Behavior Rating Inventory of Executive Function-Adult Version,Form,Self-Report/Informant i-Admin/Score Report,,,,Online Platform,PAR Login,0
BRIEF-P,B,,Behavior Rating Inventory of Executive Function-Preschool Version,Manual,Professional Manual,,,1,Second Floor,PAR,0
BRIEF-P,B,,Behavior Rating Inventory of Executive Function-Preschool Version,Form,Rating Form,,,8,Second Floor,PAR,0
BRIEF-P,B,,Behavior Rating Inventory of Executive Function-Preschool Version,Form,Preschool Scoring Summary,,,Around 10,Second Floor,PAR,0
BRIEF-SR,B,,Behavior Rating Inventory of Executive Function-Self-Report Version,Manual,Professional Manual,,,1,Second Floor,PAR,0
BRIEF-SR,B,,Behavior Rating Inventory of Executive Function-Self-Report Version,Form,Rating Form,,,18,Second Floor,PAR,0
BRIEF-SR,B,,Behavior Rating Inventory of Executive Function-Self-Report Version,Form,Self-Report Scoring Summary,,,Around 50,Second Floor,PAR,0
BSRA-3,A,Academic Achievement ,Bracken School Readiness Assessment,Manual,Examiner's Manual,3,,1,Second Floor,Pearson - 4th ed available,0
BSRA-3,A,Academic Achievement ,Bracken School Readiness Assessment,Book,Stimulus Book,3,,1,Second Floor,Pearson - 4th ed available,0
BSRA-3,A,Academic Achievement ,Bracken School Readiness Assessment,Form,Record Form,3,,14,Second Floor,Pearson - 4th ed available,0
BSRA-3,A,Academic Achievement ,Bracken School Readiness Assessment,Form,Parent/Teacher Conference Form,3,,Around 25,Second Floor,Pearson - 4th ed available,0
BSS,B,Mood/Anxiety,Beck Scale for Suicide Ideation,Manual,,,,1,Second Floor,Pearson,0
BSS,B,Mood/Anxiety,Beck Scale for Suicide Ideation,Form,Record Form,,,Around 20,Second Floor,Pearson,0
BYI-2,B,Mood/Anxiety,Beck Youth Inventories,Form,Combination Booklet,2,,8,Second Floor,Pearson,0
CAARS-O:L,B,Attention/ADHD,Conners' Adult ADHD Rating Scales-Observer: Long Version,Form,Record Form,,,Around 25,Second Floor,MHS,0
CAARS-O:S,B,Attention/ADHD,Conners' Adult ADHD Rating Scales-Observer: Short Version,Form,Record Form,,,Around 25,Second Floor,MHS,0
CAARS-O:SV,B,Attention/ADHD,Conners' Adult ADHD Rating Scales-Observer: Screening Version,Form,Record Form,,,Around 25,Second Floor,MHS,0
CAARS-S:L,B,Attention/ADHD,Conners' Adult ADHD Rating Scales-Self-Report: Long Version,Form,Record Form,,,Around 25,Second Floor,MHS,0
CAARS-S:S,B,Attention/ADHD,Conners' Adult ADHD Rating Scales-Self-Report: Short Version,Form,Record Form,,,Around 25,Second Floor,MHS,0
CAARS-S:SV,B,Attention/ADHD,Conners' Adult ADHD Rating Scales-Self-Report: Screening Version,Form,Record Form,,,Around 25,Second Floor,MHS,0
CAARS,B,Attention/ADHD,Conners' Adult ADHD Rating Scales,Manual,Technical Manual,,,1,Second Floor,MHS,0
CAARS,B,Attention/ADHD,Conners' Adult ADHD Rating Scales,Form,Profile Report,,,,Online Platform,MHS Login,0
CARS2,C,Autism,Childhood Autism Rating Scale,Manual,,2,,1,Second Floor,WPS,0
CARS2-HF,C,Autism,"Childhood Autism Rating Scale 
High-Functioning Version ",Form,Rating Booklet,2,,Around 20,Second Floor,WPS,0
CARS2-QPC,C,Autism,"Childhood Autism Rating Scale 
Questionnaire for Parents or Caregivers",Form,Rating Booklet,2,,Around 25,Second Floor,WPS,0
CARS2-ST,C,Autism,"Childhood Autism Rating Scale 
Standard Version",Form,Rating Booklet,2,,Around 20,Second Floor,WPS,0
CASS:L,B,,"Conners'-Wells' Adolescent Self-Report 
Scale-Long",Form,Feedback Form,,,Around 25,Second Floor,A.D.D. WareHouse,0
CBOCI,B,Mood/Anxiety,Clark-Beck Obsessive-Compulsive Inventory,Manual,,,,1,Second Floor,Pearson,0
CBOCI,B,Mood/Anxiety,Clark-Beck Obsessive-Compulsive Inventory,Form,Record Form,,,Around 25,Second Floor,Pearson,0
CDI 2,B,Mood/Anxiety,Children’s Depression Inventory,Manual,Technical Manual,2,,1,Second Floor,MHS,0
CDI 2,B,Mood/Anxiety,Children’s Depression Inventory,Form,Parent,2,,23,Second Floor,MHS,0
CDI 2,B,Mood/Anxiety,Children’s Depression Inventory,Form,Teacher,2,,18,Second Floor,MHS,0
CDI 2,B,Mood/Anxiety,Children’s Depression Inventory,Form,Self-Report,2,,21,Second Floor,MHS,0
CDI 2,B,Mood/Anxiety,Children’s Depression Inventory,Form,Self-Report Short,2,,Around 25,Second Floor,MHS,0
CELF-5 Metalinguistics,B,Language,Clinical Evaluation of Language Fundamentals Metalinguistics,Kit,"Kit Contents:
-Examiner's Manual 
-Technical Manual  
-Stimulus Book
-Record Form (found on second floor in filing cabinet)",5,,1,Second Floor,Pearson,0
CELF-5 Metalinguistics,B,Language,Clinical Evaluation of Language Fundamentals Metalinguistics,Form,Record Form,5,,Around 25,Second Floor,Pearson,0
CII,,Vocational,Career Interest Inventory ,Manual,Directions for Administering,,,1,Second Floor,PsychCorp,0
CII,,Vocational,Career Interest Inventory ,Form,Exploring Interests: An Introduction to the Career Interest Inventory,,,1,Second Floor,PsychCorp,0
CII,,Vocational,Career Interest Inventory ,Form,"Answer Document
Machine-Scorable Edition Type 1
Level 1",,,1,Second Floor,PsychCorp,0
CII,,Vocational,Career Interest Inventory ,Form,"Hand-Scorable Booklet
Level 2",,,1,Second Floor,PsychCorp,0
CMS,C,Memory,Children’s Memory Scale,Form,Record Form,,5 to 8,13,Second Floor,MHS,0
CMS,C,Memory,Children’s Memory Scale,Form,Record Form,,9 to 16,11,Second Floor,MHS,0
Conners 3,B,Attention/ADHD,Conners,Manual,,3,,1,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,USB Stick,,3,,1,Ask Clinic Admin,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Form,"Self-Report 
Response Booklet",3,,16,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Form,Self-Report Short,3,,11,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Form,"Teacher
Response Booklet",3,,32,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Form,Teacher Short,3,,1,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Form,"Parent
Response Booklet",3,,34,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Form,Parent Short,3,,3,Second Floor,MHS - 4th ed available,0
Conners 3,B,Attention/ADHD,Conners,Scoring,,3,,,Computer-184 Side,USB Key Needed,0
Conners 3,B,Attention/ADHD,Conners,Scoring,,3,,,Computer-186 Side,USB Key Needed,0
Conners 3,B,Attention/ADHD,Conners,Form,Self-Report/Parent/Teacher,3,,,Online Platform,MHS Login,0
Conners 4,B,Attention/ADHD,Conners,Manual,,4,,1,Second Floor,MHS,0
CRI,B,Coping/Resiliency,Coping Responses Inventory,Manual,"Adult Form
Professional Manual",,,1,Second Floor,PAR,0
CRI,B,Coping/Resiliency,Coping Responses Inventory,Form,Adult Item Booklet—Actual Form,,,10,Second Floor,PAR,0
CRI,B,Coping/Resiliency,Coping Responses Inventory,Form,Adult Answer Sheet,,,14,Second Floor,PAR,0
CTONI-2,C,,Comprehensive Test of Nonverbal Intelligence,Kit,"Kit Contents:
-Manual
-Analogies Picture Book 
-Categories Picture Book
-Sequences Picture Book
-Record Form (found on second floor in filing cabinet)",2,,1,Second Floor,WPS,0
CTONI-2,C,,Comprehensive Test of Nonverbal Intelligence,Form,Record Form,2,,23,Second Floor,WPS,0
CTOPP-2,C,,Comprehensive Test of Phonological Processing,Kit,"Kit Contents:
-Manual
-Supplemental Subtests CD
-Core Subtests CD
-Picture Book
-Examiner Record Booklet Ages 4 to 6 (found on second floor in filing cabinet)
-Examiner Record Booklet Ages 7 to 24 (found on second floor in filing cabinet)",2,,1,Second Floor,WPS,0
CTOPP-2,C,,Comprehensive Test of Phonological Processing,Form,"Examiner Record 
Booklet",2,4 to 6,Around 25,Second Floor,WPS,0
CTOPP-2,C,,Comprehensive Test of Phonological Processing,Form,"Examiner Record 
Booklet",2,7 to 24,Around 50,Second Floor,WPS,0
CVLT-II ,C,,California Verbal Learning Test,CD,"Comprehensive Scoring System
Windows Version 1.0",2,,1,Second Floor,Pearson - 3rd ed available,0
CVLT-II ,C,,California Verbal Learning Test,Install Disk,"Comprehensive Scoring System
Windows Version 1.0",2,,1,Second Floor,Pearson - 3rd ed available,0
CVLT-II ,C,,California Verbal Learning Test,Manual,,2,,1,Second Floor,Pearson - 3rd ed available,0
CVLT-II ,C,,California Verbal Learning Test,Form,Short Form,2,,Around 25,Second Floor,Pearson - 3rd ed available,0
CVLT-II ,C,,California Verbal Learning Test,Form,Standard Form,2,,13,Second Floor,Pearson - 3rd ed available,0
CVLT-II ,C,,California Verbal Learning Test,Form,Alternate Form,2,,25,Second Floor,Pearson - 3rd ed available,0
CVLT-C,C,,California Verbal Learning Test-Children's Version,Manual,,,,1,Second Floor,Pearson,0
CVLT-C,C,,California Verbal Learning Test-Children's Version,Form,Record Form,,,11,Second Floor,Pearson,0
DAP,,Projective,Draw a Person,Manual,,,,1,Second Floor,PsychCorp,0
DAP,,Projective,Draw a Person,Book,Scoring Chart,,,1,Second Floor,PsychCorp,0
DAS-II,C,,Differential Ability Scales,Form,Early Years Record Form,2,,6,Second Floor,Pearson,0
DAS-II,C,,Differential Ability Scales,Form,School-Age Record Form,2,,Over 50,Second Floor,Pearson,0
DAS-II,C,,Differential Ability Scales,Form,Speed of Information Processing Response Booklet A,2,,6,Second Floor,Pearson,0
DAS-II,C,,Differential Ability Scales,Form,Speed of Information Processing Response Booklet B,2,,5,Second Floor,Pearson,0
DAS-II,C,,Differential Ability Scales,Form,Speed of Information Processing Response Booklet C,2,,5,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Install Disk,"Scoring Assistant
Windows Version 1.0.2",,,1,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,CD,"Scoring Assistant
Windows Version 1.0.2",,,1,Second Floor,Pearson - version 2.0.1 available,0
D-KEFS,C,,Delis-Kaplan Executive Function System,CD,"Scoring Assistant
Windows Version 2.0.1",,,1,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Kit,"Kit Contents:
-Examiner's and Technical Manual
-Stimulus Booklet 
-Sorting Cards (3 sets of 6 cards each)
-1 Tower stand with 5 color disks
-Standard Record Forms 
-Design Fluency Response Booklets 
-Trail Making Response Booklet sets (each set contains Response Booklets for the 5 Trail Making conditions)",,,"2 
(Labelled as Kit A and Kit B)",Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,Standard Record Form,,,25,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,"Design Fluency Test 
Condition 1 - Filled Dots",,,Around 25,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,"Trail Making Test 
Condition 1 - Visual Scanning",,,Around 50,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,"Trail Making Test 
Condition 2 - Number Sequencing",,,Around 50,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,"Trail Making Test 
Condition 3 - Letter Sequencing",,,Around 25,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,"Trail Making Test 
Condition 4 - Number-Letter Switching",,,6,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,"Trail Making Test 
Condition 5 - Motor Speed",,,5,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Form,Color-Word Interference Test: Standard Record Form,,,Around 50,Second Floor,Pearson,0
D-KEFS,C,,Delis-Kaplan Executive Function System,Scoring,,,,,Computer-184 Side,PsychCorp,0
EDI-3,B,Eating Disorder,Eating Disorder Inventory,Manual,Professional Manual,3,,1,Second Floor,PAR,0
EDI-3,B,Eating Disorder,Eating Disorder Inventory,Form,Item Booklet,3,,Around 25,Second Floor,PAR,0
EDI-3,B,Eating Disorder,Eating Disorder Inventory,Form,Answer Sheet,3,,Around 25,Second Floor,PAR,0
EVT-3,B,Language,Expressive Vocabulary Test,Kit,"Kit Contents:
-Manual and question book
-Form A",3,,1,Second Floor,Pearson,0
EVT-3,B,Language,Expressive Vocabulary Test,Form,"Record Form
Form A",3,,Around 25,Second Floor,Pearson,0
FRT,,Social and Family,Family Relations Test,Kit,"Kit Contents:
-Testing materials in both boxes",,,2,Second Floor,GL Assessment,0
